CC	CC Nombre	Región	Colonia	Delegacion_ Municipio	Ciudad	Estado
38338	Manzanillo Blvb Madrid	Occidente	Valle De Las Garzas	Manzanillo	Manzanillo	Colima
38339	San Marcos	Centro Norte	Cuatitlan Izcalli 	Cuatitlan Izcalli 	Estado De México	Estado De México
38340	Division del Norte	Centro Sur	San Diego Churubusco	Coyoacán	Ciudad De México	Ciudad De México
38341	Ortiz Mena	Norte Centro	Sicomoro	Chihuahua	Chihuahua	Chihuahua
38342	Churubusco	Norte	Monterrey	Monterrey	Monterrey	Nuevo León
38344	Parques Polanco	Centro Centro	Anahuac	Miguel Hidalgo	Ciudad De México	Ciudad De México
38345	Colima Sevilla 	Occidente	Jardines De Vistahermosa Iii	Colima	Colima	Colima
38346	Paradise Plaza	Occidente	Nuevo Nayarit	Bahía De Banderas Nayarit	Nuevo Nayarit	Nayarit
38347	La Isla Acapulco	Sur	Playa Diamante	Acapulco De Juarez	Acapulco	Guerrero
38348	Paseo Tabasco	Sureste	Tabasco 2000	Villahermosa	Villahermosa	Tabasco
38349	Torre Inverlat	Centro Centro	Lomas De Chapultepec	Miguel Hidalgo	Ciudad De México	Ciudad De México
38350	Marina Los Cabos	Noroeste	Centro	Los Cabos	Los Cabos	Baja California Sur
38351	Ciudad Jardin l	Centro Sur	Jardin Bicentenario	Nezahualcóyotl	Estado De México	Estado De México
38352	Forum Tepic	Occidente	Benito Juárez	Tepic Nayarit	Tepic	Nayarit
38353	HidalgoTampico	Norte	La Aurora	Tampico	Tampico	Tamaulipas
38354	Bonampak 77	Sureste	Supermanzana 3	Benito Juárez	Cancún	Quintana Roo
38355	Centro Guanajuato	Bajío	Centro	Guanajuato	Guanajuato	Guanajuato
38356	Andares 	Occidente	Lomas Altas	Zapopan	Guadalajara	Jalisco
38357	Galerias Pachuca 	Bajío	Zona Plateada 	Pachuca De Soto 	Pachuca 	Hidalgo
38358	Pachuca San Javier DT	Bajío	Periodistas 	Pachuca De Soto 	Pachuca 	Hidalgo
38359	Plaza Cumbres Cancun	Sureste	Supermanzana 310	Benito Juárez	Cancún	Quintana Roo
38360	Plaza la Hacienda	Centro Sur	Nueva Oriental Coapa	Tlalpan	Ciudad De México	Ciudad De México
38361	Castorena	Centro Poniente	Cuajimalpa 	Cuajimalpa	Ciudad De México	Ciudad De México
38362	Boulevard Centenario 	Noroeste	Sector Centro	Ahome	Los Mochis	Sinaloa
38363	Galerias Atizapan	Centro Norte	Atizapan De Zaragoza 	Atizapan De Zaragoza 	Estado De México	Estado De México
38365	Coyoacan Centro	Centro Sur	Villa Coyoacan	Coyoacán	Ciudad De México	Ciudad De México
38366	Hospital ABC 	Centro Poniente	Las Americas	Álvaro Obregón 	Ciudad De México	Ciudad De México
38367	CM Coapa	Centro Sur	Amsa	Xochimilco	Ciudad De México	Ciudad De México
38368	Luna Park	Centro Norte	Cuatitlan Izcalli 	Cuatitlan Izcalli 	Estado De México	Estado De México
38370	Malecon Las Americas Cancun	Sureste	Supermanzana 6	Benito Juárez	Cancún	Quintana Roo
38371	Montevideo DT 	Centro Norte	Lindavista	Gustavo A. Madero 	Ciudad De México	Ciudad De México
38372	Felix Cuevas	Centro Poniente	Del Valle	Benito Juárez	Ciudad De México	Ciudad De México
38373	CM Los Cabos	Noroeste	Zona Hotelera	Los Cabos	Los Cabos	Baja California Sur
38374	Valle Dorado	Centro Norte	Tlalnepantla	Tlalnepantla	Estado De México	Estado De México
38375	Americas Ecatepec	Centro Sur	Fracc. Las Americas	Ecatepec De Morelos 	Estado De México	Estado De México
38376	Torre Caballito	Centro Centro	Tabacalera	Cuauhtémoc	Ciudad De México	Ciudad De México
38377	Jurica	Bajío	Jurica 	Querétaro	Querétaro	Querétaro
38378	Torre Mexicana	Centro Centro	Del Valle	Benito Juárez	Ciudad De México	Ciudad De México
38379	Via Acoxpa 	Centro Sur	Ex Hacienda Coapa	Tlalpan	Ciudad De México	Ciudad De México
38380	Plaza Fiesta Anahuac	Norte	Anahuac	Monterrey	Monterrey	Nuevo León
38381	Nima Bay	Occidente	Marina Vallarta	Puerto Vallarta Jalisco	Puerto Vallarta	Jalisco
38382	Homero	Centro Centro	Otra No Especificada En El Catalogo	Miguel Hidalgo	Ciudad De México	Ciudad De México
38383	Galerias Hipodromo	Noroeste	Hipodromo	Tijuana  	Tijuana  	Baja California
38384	Galerias Guadalajara	Occidente	La Estancia	Zapopan	Guadalajara	Jalisco
38385	Aeropuerto Monterrey TB PB	Norte	Apodaca	Apodaca	Monterrey	Nuevo León
38386	Duraznos	Centro Poniente	Bosques De Las Lomas	Miguel Hidalgo	Ciudad De México	Ciudad De México
38387	Zavaleta	Sur	Santa Cruz Buenavista	Puebla	Puebla	Puebla
38388	Culiacan Cinepolis	Noroeste	Recursos Hidraulicos	Culiacán	Culiacán	Sinaloa
38389	Rio Marne	Centro Centro	Cuauhtémoc	Cuauhtémoc	Ciudad De México	Ciudad De México
38390	Samara I	Centro Poniente	Cd Santa Fe	Álvaro Obregón 	Ciudad De México	Ciudad De México
38392	Mariano Escobedo 	Bajío	León Moderno	León	León	Guanajuato
38393	Coapa Chedraui	Centro Sur	Otra No Especificada En El Catalogo	Coyoacán	Ciudad De México	Ciudad De México
38394	Centro Comercial Lomas Verdes	Centro Norte	Lomas Verdes 	Naucalpan 	Estado De México	Estado De México
38395	Aeropuerto San Jose	Noroeste	Las Veredas	Los Cabos	Los Cabos	Baja California Sur
38396	Ciudad Deportiva	Sureste	Atasta	Villahermosa	Villahermosa	Tabasco
38397	Uruapan	Occidente	Col. Villa Uruapan	Uruapan	Uruapan	Michoacán
38398	Mexfund Pedregal	Centro Sur	Jardínes Del Pedregal	Álvaro Obregón 	Ciudad De México	Ciudad De México
38399	Carso Polanco I	Centro Centro	Anahuac	Miguel Hidalgo	Ciudad De México	Ciudad De México
38400	Centro Medico ABC Santa Fe	Centro Poniente	Tlaxcal	Cuajimalpa	Ciudad De México	Ciudad De México
38401	Coacalco	Centro Norte	Coacalco De Berriozábal 	Coacalco De Berriozábal 	Estado De México	Estado De México
38402	PeriSur  	Centro Sur	Ampliacion Jardines Del Pedregal 	Coyoacán	Ciudad De México	Ciudad De México
